,bms_number,category,coordinates,responsibility,status,date,searched_adress,message,message_links
53,3303,"Straßen, Fahrrad & Verkehr > Fußwege schadhaft","47.6728524413196, 9.17780846357346",Stadtverwaltung,Gelöst,08.04.2020,"Gustav-Schwab-Straße 10, 78467 Konstanz, Germany                    ","In Höhe des neu montierten Schaltschrank ist der Gehweg stark wellig, ältere Personen können stolpern/aus dem Tritt kommen.
In diesem Sinn sollte der gesamte Gehweg der Gustav-Schwabstrasse auf Absenkungen geprüft werden.",
142,3392,"Straßen, Fahrrad & Verkehr > Fußwege schadhaft","47.6695851643282, 9.18418139219284",Technische Betriebe,Gelöst,10.05.2020,"Säntisstraße 23, 78464 Konstanz, Germany                    ","In der Säntisstraße, auf der Westseite zwischen Buchner- und Mainaustraße, ist der Belag des Gehweges ist auf der ganzen Länge sehr marode, teilweise aufgebrochen. Es besteht eine hohe Stolper- bzw Unfallgefahr für die Fußgänger.",
210,3460,"Straßen, Fahrrad & Verkehr > Fußwege schadhaft","47.6595890958671, 9.16732328446247",Technische Betriebe,Gelöst,04.06.2020,"Blarerstraße 46, 78462 Konstanz, Germany                    ","Vor dem Haus Blarerstr. 44 ist eine große Mulde im Gehwegbelag. Dort sammelt sich immer Wasser ca. 4cm tief. Im Winter,  wenn Schneefällt und dieser taut, bildet sich eine gr0ße, spiegelglatte Fläche, der nur mit Salz beizukommen ist. Das ist für ältere Menschen sehr gefährlich und ich kann meiner Verkehrssichungspflicht nur bedingt nachkommen. JETZT gerade werden Tiefbauarbeiten ca. 100 meter entfernt in der Tägermoosstraße durchgeführt. Es wäre ein leichtes, da dort die Fußwege geteert werden mit einer Schubkarre Teer die Stelle zu begradigen. Soll sich im Winter ein alter Mensch den Oberschenkelhals brechen? Bitte schauen Sie sich das mitgelieferte Bild an.
Vielen Dank für Ihre Hilfe! [...]
(Adresssuche nach: Blarerstr.44)",
265,3515,"Straßen, Fahrrad & Verkehr > Fußwege schadhaft","47.6702007, 9.1761081",Stadtverwaltung,Gelöst,17.06.2020,"Petershauser Str. 12, 78467 Konstanz, Germany                    ","Vor dem Haus Ebertplatz 5 und St.-Gebhard-Strasse 6 sind 2 Baustellen, die seit mehr als 4 Wochen unfertig ""herumstehen"". Es müsste einfach mal geteert werden, damit es wieder ansehnlich aussieht bzw. die Absperrung wieder entfernt werden könnte.",
365,3615,"Straßen, Fahrrad & Verkehr > Straßenschäden","47.675557786692, 9.18026100844145",Stadtverwaltung,Gelöst,06.07.2020,"L220 23, 78467 Konstanz, Germany                    ","An der Wollmatinger-Straße, Ecke Salemer Weg (Bushaltestelle Bismarcksteig) fanden vor ca. zwei Jahren Straßenarbeiten statt. Diese wurden offenbar nicht fachgerecht durchgeführt (es war kein städtischer Betrieb), denn direkt nachdem die Baustelle beendet war war eine deutliche Absenkung der Fahrbahn an der Kreuzung und dem Radweg zu erkennen. Dies führt bei Regen immer zu einer starken Pfützenbildung und durch die vorbeifahrenden Autos werden Radfahrer und Fußgänger ""geduscht"". Die Pfütze ist sehr tief und es bilden sich richtige Fontänen beim durchfahren.
ich habe diesen Mangel bereits direkt nachdem die Baustelle aufgehoben war über dieses Portal hier mittels Bilder angezeigt, aber bislang hat sich hier nichts getan.",
370,3620,Beleuchtung > Straßenlaternen defekt,"47.6720581054688, 9.16422398333786",Stadtwerke Konstanz,Gelöst,07.07.2020,"Reichenaustraße 33, 78467 Konstanz, Germany                    ",Laterne Nummer 10 Fußgängerwendel Europabrücke (Reichenaustr.) defekt.,
400,3650,"Straßen, Fahrrad & Verkehr > Fahrrad gefunden","47.6659675571359, 9.17614888654517",Stadtverwaltung,Gelöst,17.07.2020,"Klostergasse 7, 78462 Konstanz, Germany                    ","auffälliger Beach Cruiser, schwarz
das Rad lag sehr lange im Gebüsch an der Mädchenschule und wurde vor ca. 2. Wochen vor der Kunstschule abgestellt, aber nicht mehr bewegt.",
494,3744,"Straßen, Fahrrad & Verkehr > Schilder unkenntlich","47.684992144915, 9.18163329362869",Technische Betriebe,Gelöst,10.08.2020,"Universitätsstraße, 78464 Konstanz, Germany                    ",Ca. 20 Leitpfosten sind abgebrochen und nicht sichtbar.,
516,3766,Hinweise > Hinweise,"47.6808679469236, 9.20202032915554",Stadtverwaltung,Gelöst,14.08.2020,"B33 141, 78464 Konstanz, Germany                    ",Unterführung Ecke Staaderstr./Mainaustraße steht der westlichen Teil unter Wasser.,
595,3845,Beleuchtung > Straßenlaternen defekt,"47.6713152620043, 9.18252110481262",Stadtwerke Konstanz,Gelöst,02.09.2020,"Zähringerpl. 1A, 78464 Konstanz, Germany                    ","Laterne schon lange Zeit ohne Funktion, Nummer der Laterne ist verdeckt. Steht am hinteren Weg entlang Schule in Höhe Toilettenhaus.",
